,,,,,,0 K,298.15 K (25 °C) and 0.1 Mpa (1 bar),,,,,
KI,in 25 H2O,,,,166.0064,-,-309.695,-,-,-,-,
KI,in 30 H2O,,,,166.0064,-,-309.311,-,-,-,-,
KI,in 40 H2O,,,,166.0064,-,-308.792,-,-,-,-,
KI,in 50 H2O,,,,166.0064,-,-308.461,-,-,-,-,
KI,in 75 H2O,,,,166.0064,-,-308.026,-,-,-,-,
KI,in 85 H2O,,,,166.0064,-,-307.934,-,-,-,-,
KI,in 100 H2O,,,,166.0064,-,-307.796,-,-,-,-,
KI,in 150 H2O,,,,166.0064,-,-307.574,-,-,-,-,
KI,in 200 H2O,,,,166.0064,-,-307.474,-,-,-,-,
KI,in 300 H2O,,,,166.0064,-,-307.382,-,-,-,-,
KI,in 400 H2O,,,,166.0064,-,-307.344,-,-,-,-,
KI,in 500 H2O,,,,166.0064,-,-307.327,-,-,-,-,
KI,in 600 H2O,,,,166.0064,-,-307.323,-,-,-,-,
KI,in 700 H2O,,,,166.0064,-,-307.319,-,-,-,-,
KI,in 800 H2O,,,,166.0064,-,-307.319,-,-,-,-,
KI,in 900 H2O,,,,166.0064,-,-307.323,-,-,-,-,
KI,in 1000 H2O,,,,166.0064,-,-307.327,-,-,-,-,
KI,in 2000 H2O,,,,166.0064,-,-307.352,-,-,-,-,
KI,in 3000 H2O,,,,166.0064,-,-307.378,-,-,-,-,
KI,in 5000 H2O,,,,166.0064,-,-307.411,-,-,-,-,
KI,in 10000 H2O,,,,166.0064,-,-307.444,-,-,-,-,
KI,in 20000 H2O,,,,166.0064,-,-307.478,-,-,-,-,
KI,in 50000 H2O,,,,166.0064,-,-307.507,-,-,-,-,
KI,in 100000 H2O,,,,166.0064,-,-307.524,-,-,-,-,
KI,in ∞ H2O,,,,166.0064,-,-307.57,-,-,-,-,
KI,in 500 NH3 in liquid NH3,,,,166.0064,-,-367.4,-,-,-,-,
KI,in 500 D2O,,,,166.0064,-,-303.499,-,-,-,-,
KI,in 190 HCONH2 in formamide,,,,166.0064,-,-332.21,-,-,-,-,
KI,in 200 C2H5OH,,,,166.0064,-,-318.8,-,-,-,-,
KI,in 400 C2H5OH,,,,166.0064,-,-319.7,-,-,-,-,
KI,in 600 C2H5OH,,,,166.0064,-,-321.3,-,-,-,-,
KI,in HCONH2:s in formamide,,,,166.0064,-,-332.15,-,-,-,-,
KI,in HCONHCH3:s in N-methylformamide,,,,166.0064,-,-341.385,-,-,-,-,
KI,"in HCON(CH3)2:s in N,N-dimethylformamide",,,,166.0064,-,-361.54,-,-,-,-,
KI,in CH3OH:u,,,,166.0064,-,-328.53,-,-,-,-,
KI,in CH3CN:u in acetonitrile,,,,166.0064,-,-337.6,-,-,-,-,
KI<sup>+</sup>,,,,g,166.0064,573.,577.,-,-,-,-,
KI3,,,,cr,419.8152,-,-328.0,-,-,-,-,
KI3,,from I3<sup>-</sup>,,ai,419.8152,-,-303.8,-334.7,-,341.8,-,
KI3,in 13 H2O,,,,419.8152,-,-308.4,-,-,-,-,
KI3,in 40 H2O,,,,419.8152,-,-305.9,-,-,-,-,
KI3,in 100 H2O,,,,419.8152,-,-304.2,-,-,-,-,
KI3,in 250 H2O,,,,419.8152,-,-303.8,-,-,-,-,
KI3,in 400 H2O,,,,419.8152,-,-303.8,-,-,-,-,
KI3,in 600 H2O,,,,419.8152,-,-303.3,-,-,-,-,
K2I2,,,,g,332.0128,-418.69,-424.7,-469.1,21.38,393.8,82.0,
KIO,,,,ai,182.0058,-,-359.8,-321.7,-,97.1,-,
KIO3,,,,cr,214.0046,-495.97,-501.37,-418.35,21.30,151.46,106.48,
KIO3,,,,ai,214.0046,-,-473.6,-411.2,-,220.9,-,
KIO3,in 150 H2O,,,,214.0046,-,-475.365,-,-,-,-,
KIO3,in 200 H2O,,,,214.0046,-,-474.884,-,-,-,-,
KIO3,in 250 H2O,,,,214.0046,-,-474.595,-,-,-,-,
KIO3,in 300 H2O,,,,214.0046,-,-474.386,-,-,-,-,
KIO3,in 400 H2O,,,,214.0046,-,-474.135,-,-,-,-,
KIO3,in 500 H2O,,,,214.0046,-,-473.993,-,-,-,-,
KIO3,in 600 H2O,,,,214.0046,-,-473.901,-,-,-,-,
KIO3,in 800 H2O,,,,214.0046,-,-473.784,-,-,-,-,
KIO3,in 1000 H2O,,,,214.0046,-,-473.721,-,-,-,-,
KIO3,in 1667 H2O,,,,214.0046,-,-473.654,-,-,-,-,
KIO3,in 2000 H2O,,,,214.0046,-,-473.608,-,-,-,-,
KIO3,in 5000 H2O,,,,214.0046,-,-473.553,-,-,-,-,
KIO3,in 10000 H2O,,,,214.0046,-,-473.545,-,-,-,-,
KIO3,in 50000 H2O,,,,214.0046,-,-473.579,-,-,-,-,
KIO3,in 100000 H2O,,,,214.0046,-,-473.591,-,-,-,-,
KIO4,,,,cr,230.0040,-,-467.23,-361.35,-,176.,-,
KIO4,,,,ai,230.0040,-,-403.8,-341.8,-,322.,-,
K2I2O,,from I2O<sup>2-</sup>,,ai,348.0122,-,-,-648.9,-,-,-,
KH4IO6,,from H4IO6<sup>-</sup>,,aq,266.0348,-,-1011.7,-,-,-,-,
K2H3IO6,,from H3IO6<sup>2-</sup>,,aq,304.1288,-,-1260.6,-,-,-,-,
KIO2F2,,,,cr,236.0020,-,-875.71,-,-,-,-,
KICl2,,from ICl2<sup>-</sup>,,ai,236.9124,-,-,-444.3,-,-,-,
KI2Cl,,from I2Cl<sup>-</sup>,,ai,328.3638,-,-389.9,-399.6,-,324.7,-,
KIBr2,,,,cr,325.8244,-,-,-391.2,-,-,-,
KIBr2,,from IBr2<sup>-</sup>,,ai,325.8244,-,-,-406.3,-,-,-,
KIBr2·H2O,,,,cr,343.8398,-,-,-632.2,-,-,-,
KBrI2,,from I2Br<sup>-</sup>,,ai,372.8198,-,-380.3,-393.3,-,300.0,-,
KClBrI,,,,cr,281.3684,-,-,-415.5,-,-,-,
KClBrI,,from ClBrI<sup>-</sup>,,ai,281.3684,-,-,-429.7,-,-,-,
K2S,,,,cr,110.2680,-,-380.7,-364.0,-,105.,-,
K2S,,,,ai,110.2680,-,-471.5,-480.7,-,190.4,-,
K2S,in 7 H2O,,,,110.2680,-,-456.9,-,-,-,-,
K2S,in 10 H2O,,,,110.2680,-,-463.2,-,-,-,-,
K2S,in 20 H2O,,,,110.2680,-,-467.8,-,-,-,-,
K2S,in 50 H2O,,,,110.2680,-,-468.40,-,-,-,-,
K2S,in 100 H2O,,,,110.2680,-,-468.19,-,-,-,-,
K2S,in 200 H2O,,,,110.2680,-,-467.69,-,-,-,-,
K2S,in 400 H2O,,,,110.2680,-,-467.4,-,-,-,-,
K2S·2H2O,,,,cr,146.2988,-,-975.3,-,-,-,-,
K2S·5H2O,,,,cr,200.3450,-,-1871.5,-,-,-,-,
K2S2,,,,cr,142.3320,-,-432.2,-,-,-,-,
K2S2,,,,ai,142.3320,-,-474.5,-487.0,-,233.5,-,
K2S2,in 11000 H2O,,,,142.3320,-,-473.2,-,-,-,-,
K2S3,,,,cr,174.3960,-,-467.4,-,-,-,-,
K2S3,,,,ai,174.3960,-,-478.6,-492.9,-,271.1,-,
K2S3,in 11000 H2O,,,,174.3960,-,-479.9,-,-,-,-,
K2S4,,,,cr,206.4600,-,-469.9,-,-,-,-,
K2S4,,,,ai,206.4600,-,-481.6,-497.5,-,308.4,-,
K2S4,in 300 H2O,,,,206.4600,-,-476.6,-,-,-,-,
K2S4,in 11000 H2O,,,,206.4600,-,-481.6,-,-,-,-,
K2S4·0.5H2O,,,,cr,215.4677,-,-627.2,-,-,-,-,
K2S4·2H2O,,,,cr,242.4908,-,-1078.6,-,-,-,-,
K2S5,,,,cr,238.5240,-,-469.0,-,-,-,-,
K2S5,,,,ai,238.5240,-,-483.3,-500.8,-,345.6,-,
K2S6,,,,cr,270.5880,-,-468.2,-,-,-,-,
KSO4<sup>-</sup>,,,,ao,135.1636,-,-1157.42,-1032.07,-,151.0,-,
KS2O8<sup>-</sup>,,,,ao,231.2252,-,-1590.3,-1403.2,-,385.,-,
K2SO3,,,,cr,158.2662,-,-1125.5,-,-,-,-,
K2SO3,,,,ai,158.2662,-,-1140.1,-1053.1,-,176.,-,
K2SO3,in 50 H2O,,,,158.2662,-,-1138.9,-,-,-,-,
K2SO3,in 100 H2O,,,,158.2662,-,-1136.0,-,-,-,-,
K2SO3,in 200 H2O,,,,158.2662,-,-1134.7,-,-,-,-,
K2SO3,in 350 H2O,,,,158.2662,-,-1134.7,-,-,-,-,
K2SO3,in 400 H2O,,,,158.2662,-,-1135.1,-,-,-,-,
K2SO3,in 500 H2O,,,,158.2662,-,-1135.5,-,-,-,-,
K2SO3,in 600 H2O,,,,158.2662,-,-1136.0,-,-,-,-,
K2SO3,in 1000 H2O,,,,158.2662,-,-1137.6,-,-,-,-,
K2SO3,in ∞ H2O,,,,158.2662,-,-1140.1,-,-,-,-,
K2SO4,,,G-H-S constraint has been relaxed; see Introduction.,cr,174.2656,-1427.271,-1437.79,-1321.37,25.435,175.56,131.46,
K2SO4,,,,g,174.2656,-1083.,-1096.,-1033.,22.47,364.,108.8,
K2SO4,,,,ai,174.2656,-,-1414.02,-1311.07,-,225.1,-251.,
K2SO4,in 50 H2O,,,,174.2656,-,-1416.1,-,-,-,-,
K2SO4,in 60 H2O,,,,174.2656,-,-1415.7,-,-,-,-,
K2SO4,in 80.2 H2O,,,,174.2656,-,-1414.9,-,-,-,-,
K2SO4,in 100 H2O,,,,174.2656,-,-1414.40,-,-,-,-,
K2SO4,in 200 H2O,,,,174.2656,-,-1413.44,-,-,-,-,
K2SO4,in 300 H2O,,,,174.2656,-,-1413.23,-,-,-,-,
K2SO4,in 400 H2O,,,,174.2656,-,-1413.06,-,-,-,-,
K2SO4,in 500 H2O,,,,174.2656,-,-1413.02,-,-,-,-,
K2SO4,in 600 H2O,,,,174.2656,-,-1412.970,-,-,-,-,
K2SO4,in 700 H2O,,,,174.2656,-,-1412.962,-,-,-,-,
K2SO4,in 800 H2O,,,,174.2656,-,-1412.966,-,-,-,-,
K2SO4,in 1000 H2O,,,,174.2656,-,-1412.983,-,-,-,-,
K2SO4,in 1500 H2O,,,,174.2656,-,-1413.020,-,-,-,-,
K2SO4,in 2000 H2O,,,,174.2656,-,-1413.071,-,-,-,-,
K2SO4,in 3000 H2O,,,,174.2656,-,-1413.150,-,-,-,-,
K2SO4,in 5000 H2O,,,,174.2656,-,-1413.272,-,-,-,-,
K2SO4,in 8000 H2O,,,,174.2656,-,-1413.380,-,-,-,-,
K2SO4,in 10000 H2O,,,,174.2656,-,-1413.435,-,-,-,-,
K2SO4,in 20000 H2O,,,,174.2656,-,-1413.581,-,-,-,-,
K2SO4,in 50000 H2O,,,,174.2656,-,-1413.728,-,-,-,-,
K2SO4,in 100000 H2O,,,,174.2656,-,-1413.811,-,-,-,-,
K2SO4,in 500000 H2O,,,,174.2656,-,-1413.933,-,-,-,-,
K2SO4,in ∞ H2O,,,,174.2656,-,-1414.02,-,-,-,-,
K2SO4,in 500 D2O,,,,174.2656,-,-1410.719,-,-,-,-,
K2S2O3,,,,cr,190.3302,-,-1173.6,-,-,-,-,
K2S2O3,,,,ai,190.3302,-,-1156.9,-1089.0,-,272.,-,
K2S2O3,in 1000 H2O,,,,190.3302,-,-1155.6,-,-,-,-,
K2S2O3·H2O,,,,cr,208.3456,-,-1464.8,-,-,-,-,
K2S2O4,,,,ai,206.3296,-,-1258.1,-1166.9,-,297.,-,
K2S2O5,,,,cr,222.3290,-,-1533.9,-,-,-,-,
K2S2O5,in 500 H2O,,,,222.3290,-,-1487.8,-,-,-,-,
K2S2O5·0.5H2O,,,,cr,231.3367,-,-1677.8,-,-,-,-,
K2S2O6,,,,cr,238.3284,-,-1755.61,-,-,-,-,
K2S2O6,,,,ai,238.3284,-,-1702.9,-,-,-,-,
K2S2O6,in 400 H2O,,,,238.3284,-,-1702.68,-,-,-,-,
K2S2O6,in 800 H2O,,,,238.3284,-,-1701.6,-,-,-,-,
K2S2O6,in 1600 H2O,,,,238.3284,-,-1701.6,-,-,-,-,
K2S2O7,,,,cr,254.3278,-,-1986.6,-1791.5,-,255.2,-,
K2S2O7,,,,ai,254.3278,-,-1905.8,-,-,-,-,
K2S2O7,in 50 H2O,,,,254.3278,-,-1914.6,-,-,-,-,
K2S2O8,,,,cr,270.3272,-1898.2,-1916.1,-1697.3,39.87,278.7,213.09,
K2S2O8,,,,ai,270.3272,-,-1849.3,-1681.4,-,449.4,-,
K2S2O8,in 3200 H2O,,,,270.3272,-,-1846.8,-,-,-,-,
K2S2O8,in 7000 H2O,,,,270.3272,-,-1848.0,-,-,-,-,
K2S3O6,,,,cr,270.3924,-,-1754.8,-,-,-,-,
K2S3O6,,,,ai,270.3924,-,-1704.1,-,-,-,-,
K2S3O6,in 500 H2O,,,,270.3924,-,-1704.1,-,-,-,-,
K2S4O6,,,,cr,302.4564,-1766.65,-1780.71,-1613.34,43.79,309.66,230.79,
K2S4O6,,,,ai,302.4564,-,-1728.8,-1607.0,-,462.3,-24.3,
K2S4O6,in 500 H2O,,,,302.4564,-,-1727.2,-,-,-,-,
K2S4O6,in 1000 H2O,,,,302.4564,-,-1727.36,-,-,-,-,
K2S4O6,in 5000 H2O,,,,302.4564,-,-1727.728,-,-,-,-,
K2S4O6,in 6000 H2O,,,,302.4564,-,-1727.820,-,-,-,-,
K2S4O6,in 7000 H2O,,,,302.4564,-,-1727.963,-,-,-,-,
K2S4O6,in 10000 H2O,,,,302.4564,-,-1728.021,-,-,-,-,
K2S4O6,in 25000 H2O,,,,302.4564,-,-1728.297,-,-,-,-,
K2S4O6,in 50000 H2O,,,,302.4564,-,-1728.456,-,-,-,-,
K2S4O6,in 100000 H2O,,,,302.4564,-,-1728.569,-,-,-,-,
K2S4O6,in ∞ H2O,,,,302.4564,-,-1728.8,-,-,-,-,
K2S5O6,,,,ai,334.5204,-,-1741.0,-,-,-,-,
K2S5O6,in 2000 H2O,,,,334.5204,-,-1741.0,-,-,-,-,
K2S5O6·1.5H2O,,,,cr,361.5435,-,-2222.5,-,-,-,-,
KHS,,,,cr,72.1740,-,-265.10,-,-,-,75.31,
KHS,,from HS<sup>-</sup>,,ai,72.1740,-,-269.9,-271.19,-,165.3,-,
KHS,in 5 H2O,,,,72.1740,-,-271.12,-,-,-,-,
KHS,in 10 H2O,,,,72.1740,-,-271.04,-,-,-,-,
KHS,in 20 H2O,,,,72.1740,-,-270.96,-,-,-,-,
KHS,in 50 H2O,,,,72.1740,-,-269.87,-,-,-,-,
KHS,in 100 H2O,,,,72.1740,-,-269.78,-,-,-,-,
KHS,in 200 H2O,,,,72.1740,-,-269.58,-,-,-,-,
KHS,in 400 H2O,,,,72.1740,-,-269.37,-,-,-,-,
KHS,in 500 H2O,,,,72.1740,-,-269.41,-,-,-,-,
KHS·0.25H2O,,,,cr,76.6778,-,-337.2,-,-,-,-,
KHSO3,,,,ai,120.1722,-,-878.60,-811.00,-,242.3,-,
KHSO3,in 400 H2O,,,,120.1722,-,-878.2,-,-,-,-,
KHSO4,,,,cr,136.1716,-,-1160.6,-1031.3,-,138.1,-,
KHSO4,,,,ai,136.1716,-,-1139.72,-1039.18,-,234.3,-63.,
KHSO4,in 20 H2O,,,,136.1716,-,-1144.3,-,-,-,-,
KHSO4,in 25 H2O,,,,136.1716,-,-1144.3,-,-,-,-,
KHSO4,in 50 H2O,,,,136.1716,-,-1144.3,-,-,-,-,
KHSO4,in 100 H2O,,,,136.1716,-,-1144.74,-,-,-,-,
KHSO4,in 200 H2O,,,,136.1716,-,-1145.58,-,-,-,-,
KHSO4,in 220 H2O,,,,136.1716,-,-1145.75,-,-,-,-,
KHSO4,in 400 H2O,,,,136.1716,-,-1147.17,-,-,-,-,
KHSO4,in 800 H2O,,,,136.1716,-,-1148.76,-,-,-,-,
KHSO4,in 1000 H2O,,,,136.1716,-,-1149.26,-,-,-,-,
KHSO4,in 2000 H2O,,,,136.1716,-,-1150.81,-,-,-,-,
KHSO4,in 5000 H2O,,,,136.1716,-,-1153.5,-,-,-,-,
KHSO4,in 9000 H2O,,,,136.1716,-,-1154.8,-,-,-,-,
KSO2F,,,,cr,122.1632,-,-942.7,-866.9,-,146.,-,
KSO3F,,,,cr,138.1626,-,-1159.0,-,-,-,-,
KSO3F,,,,ai,138.1626,-,-1123.8,-,-,-,-,
KSO3F,in 600 HSO3F,,,,138.1626,-,-1193.7,-,-,-,-,
KI·4SO2,,,,cr,422.2576,-,-1676.1,-,-,-,-,
K2Se,,,,cr,157.1640,-,-395.0,-,-,-,-,
K2Se,,,,ai,157.1640,-,-,-437.2,-,-,-,
K2Se·9H2O,,,,cr,319.3026,-,-3087.0,-,-,-,-,
K2Se·14H2O,,,,cr,409.3796,-,-4524.2,-,-,-,-,
K2Se·19H2O,,,,cr,499.4566,-,-5991.9,-,-,-,-,
K2SeO3,,,,cr,205.1622,-,-982.0,-,-,-,-,
K2SeO3,,,,ai,205.1622,-,-1013.8,-936.3,-,218.0,-,
K2SeO4,,,,cr,221.1616,-,-1110.02,-1002.8,-,222.,-,
K2SeO4,,,,ai,221.1616,-,-1103.7,-1007.9,-,259.0,-,
K2SeO4,in 220 H2O,,,,221.1616,-,-1102.5,-,-,-,-,
K2SeO4,in 440 H2O,,,,221.1616,-,-1102.9,-,-,-,-,
KHSe,,,,cr,119.0700,-,-238.1,-,-,-,-,
KHSe,,from HSe<sup>-</sup>,,ai,119.0700,-,-236.4,-239.3,-,180.,-,
KHSe,in 500 H2O,,,,119.0700,-,-236.0,-,-,-,-,
KHSe,in 1500 H2O,,,,119.0700,-,-236.4,-,-,-,-,
KHSeO4,,from HSeO4<sup>-</sup>,,ai,183.0676,-,-833.9,-735.5,-,251.9,-,
KHSeO4,in 220 H2O,,,,183.0676,-,-841.0,-,-,-,-,
K2TeO3,,,,cr,253.8022,-,-1012.5,-,-,-,-,
K2TeO3,,,,ai,253.8022,-,-1049.3,-,-,-,-,
K2TeO3,in 1500 H2O,,,,253.8022,-,-1055.50,-,-,-,-,
K2TeO3,in 6000 H2O,,,,253.8022,-,-1045.2,-,-,-,-,
K2TeO3·3H2O,,,,cr,307.8484,-,-1907.9,-,-,-,-,
K2TeO4,in 300 H2O,,,,269.8016,-,-1166.1,-,-,-,-,
K2Te2O5,,,,cr,413.4010,-,-1322.,-,-,-,-,
K2Te4O9,,,,cr,732.5986,-,-1954.,-,-,-,-,
K2Te4O9·4H2O,,,,cr,804.6602,-,-3158.9,-,-,-,-,
K2H4TeO6,in 300 H2O,,,,305.8324,-,-1737.6,-,-,-,-,
K2TeBr6,,,,cr,685.2580,-,-977.4,-,-,-,-,
KN3,,,,ai,81.1221,-,22.76,64.9,-,210.5,-,
KNO2,,,rhombic,cr,85.1075,-370.07,-369.82,-306.55,20.380,152.09,107.40,
KNO2,,,,ai,85.1075,-,-356.9,-315.4,-,225.5,-,
KNO2,in 400 H2O,,,,85.1075,-,-356.832,-,-,-,-,
KNO2,in 1000 H2O,,,,85.1075,-,-356.707,-,-,-,-,
KNO2,in 9000 H2O,,,,85.1075,-,-356.812,-,-,-,-,
KNO3,,,,cr,101.1069,-488.96,-494.63,-394.86,18.778,133.05,96.40,
KNO3,,,,ai,101.1069,-,-459.74,-394.53,-,248.9,-64.9,
KNO3,in 15 H2O,,,,101.1069,-,-467.265,-,-,-,-,
KNO3,in 20 H2O,,,,101.1069,-,-466.068,-,-,-,-,
KNO3,in 25 H2O,,,,101.1069,-,-465.206,-,-,-,-,
KNO3,in 30 H2O,,,,101.1069,-,-464.550,-,-,-,-,
KNO3,in 40 H2O,,,,101.1069,-,-463.633,-,-,-,-,
KNO3,in 50 H2O,,,,101.1069,-,-462.997,-,-,-,-,
KNO3,in 75 H2O,,,,101.1069,-,-462.027,-,-,-,-,
KNO3,in 100 H2O,,,,101.1069,-,-461.487,-,-,-,-,
KNO3,in 150 H2O,,,,101.1069,-,-460.884,-,-,-,-,
KNO3,in 200 H2O,,,,101.1069,-,-460.558,-,-,-,-,
KNO3,in 300 H2O,,,,101.1069,-,-460.215,-,-,-,-,
KNO3,in 400 H2O,,,,101.1069,-,-460.043,-,-,-,-,
KNO3,in 500 H2O,,,,101.1069,-,-459.939,-,-,-,-,
KNO3,in 600 H2O,,,,101.1069,-,-459.868,-,-,-,-,
KNO3,in 700 H2O,,,,101.1069,-,-459.822,-,-,-,-,
KNO3,in 800 H2O,,,,101.1069,-,-459.784,-,-,-,-,
KNO3,in 1000 H2O,,,,101.1069,-,-459.734,-,-,-,-,
KNO3,in 1500 H2O,,,,101.1069,-,-459.679,-,-,-,-,
KNO3,in 2000 H2O,,,,101.1069,-,-459.658,-,-,-,-,
KNO3,in 3000 H2O,,,,101.1069,-,-459.638,-,-,-,-,
KNO3,in 5000 H2O,,,,101.1069,-,-459.633,-,-,-,-,
KNO3,in 10000 H2O,,,,101.1069,-,-459.642,-,-,-,-,
KNO3,in 20000 H2O,,,,101.1069,-,-459.658,-,-,-,-,
KNO3,in 50000 H2O,,,,101.1069,-,-459.679,-,-,-,-,
KNO3,in 100000 H2O,,,,101.1069,-,-459.696,-,-,-,-,
KNO3,in 140 HCON(CH3)2 in dimethylformamide,,,,101.1069,-,-494.21,-,-,-,-,
KNO3,in 16000 NH2C2H4NH2 in ethylenediamine,,,,101.1069,-,-490.57,-,-,-,-,
KNO3,in CH3OH:s,,,,101.1069,-,-476.68,-,-,-,-,
KNO3,in (CH3)2SO:s in dimethylsulfoxide,,,,101.1069,-,-491.54,-,-,-,-,
KNH2,,,,cr,55.1247,-,-128.9,-,-,-,-,
KNH3,,,,cr,56.1327,-,-72.8,-14.2,-,159.,-,
KNO2·KOH,,,,cr,141.2169,-,-805.09,-,-,-,-,
KNO3·KOH,,,,cr,157.2163,-,-922.03,-,-,-,-,
KPO3,,,,cr,118.0740,-,-,-,16.259,108.49,90.21,
KPO3,,,,ai,118.0740,-,-1229.3,-,-,-,-,
KP2O7<sup>3-</sup>,,,,ao,213.0454,-,-2516.2,-2215.4,-,51.5,-,
K3PO4,,,,cr,212.2774,-,-1950.2,-,-,-,-,
K3PO4,,,,ai,212.2774,-,-2034.7,-1868.7*,-,87.2*,-,
K3PO4,in 500 H2O,,,,212.2774,-,-2034.7,-,-,-,-,
K4P2O7,,,,ai,330.3514,-,-3280.7,-3052.1,-,293.,-,
KH2PO4,,,,cr,136.0894,-1550.59,-1568.33,-1415.85,20.54,134.85,116.57,
KH2PO4,,from H2PO4<sup>-</sup>,,ai,136.0894,-,-1548.67,-1413.55,-,192.9,-,
KH2PO4,"in 31.18 H2O, saturated",,,,136.0894,-,-1550.331,-,-,-,-,
KH2PO4,in 40 H2O,,,,136.0894,-,-1550.063,-,-,-,-,
KH2PO4,in 50 H2O,,,,136.0894,-,-1549.883,-,-,-,-,
KH2PO4,in 75 H2O,,,,136.0894,-,-1549.503,-,-,-,-,
KH2PO4,in 100 H2O,,,,136.0894,-,-1549.310,-,-,-,-,
KH2PO4,in 150 H2O,,,,136.0894,-,-1549.109,-,-,-,-,
KH2PO4,in 200 H2O,,,,136.0894,-,-1549.005,-,-,-,-,
KH2PO4,in 300 H2O,,,,136.0894,-,-1548.896,-,-,-,-,
KH2PO4,in 500 H2O,,,,136.0894,-,-1548.762,-,-,-,-,
KH2PO4,in 1000 H2O,,,,136.0894,-,-1548.737,-,-,-,-,
KH3P2O7,,from H3P2O7<sup>-</sup>,,ai,216.0694,-,-2528.8,-,-,-,-,
K2HPO4,,from HPO4<sup>2-</sup>,,ai,174.1834,-,-1796.90,-1655.69,-,171.5,-,
K2H2P2O7,,,,cr,254.1634,-,-2816.,-,-,-,-,
K2H2P2O7,,from H2P2O7<sup>2-</sup>,,ai,254.1634,-,-2783.2,-2576.8,-,368.,-,
K3HP2O7,,from HP2O7<sup>3-</sup>,,ai,292.2574,-,-3032.1,-2822.0,-,351.,-,
KPF6,,,,cr,184.0662,-2347.81,-2350.6,-2205.3,36.128,225.89,158.36,
KPF6,,,,ai,184.0662,-,-2306.2,-2197.8,-,349.4,-,
KAs,,,,cr,114.0236,-,-102.9,-,-,-,-,
KAs2,,,,cr,188.9452,-,-127.2,-,-,-,-,
K3As,,,,cr,192.2276,-,-186.2,-,-,-,-,
K5As4,,,,cr,495.1964,-,-452.7,-,-,-,-,
K3AsO4,,,,ai,256.2252,-,-1645.27,-1498.23,-,144.8,-,
KH2AsO4,,,,cr,180.0372,-1165.66,-1180.7,-1035.9,22.970,155.02,126.73,
KH2AsO4,,from H2AsO4<sup>-</sup>,,ai,180.0372,-,-1161.94,-1036.45,-,218.,-,
K2HAsO4,,from HAsO4<sup>2-</sup>,,ai,218.1312,-,-1411.10,-1281.14,-,203.3,-,
KSb,,,,cr,160.8520,-,-82.42,-,-,-,-,
KSb2,,,,cr,282.6020,-,-107.11,-,-,-,-,
K3Sb,,,,cr,239.0560,-,-183.31,-,-,-,-,
K5Sb4,,,,cr,682.5100,-,-379.1,-,-,-,-,
3KBr·2SbBr3,,,,cr,1079.9870,-,-1742.2,-,-,-,-,
K3Bi,,,,cr,326.2860,-,-232.2,-,-,-,-,
KC4,,,,cr,87.1468,-,-31.0,-,-,-,-,
KC8,,,,cr,135.1916,-,-33.5,-,-,-,-,
KC10,,,,cr,159.2140,-,-25.1,-,-,-,-,
KC24,,,,cr,327.3708,-,-38.1,-,-,-,-,
KC36,,,,cr,471.5052,-,-42.7,-,-,-,-,
KC48,,,,cr,615.6396,-,-43.9,-,-,-,-,
KC60,,,,cr,759.7740,-,-44.8,-,-,-,-,
K2CO3,,,G-H-S constraint has been relaxed; see Introduction.,cr,138.2134,-1145.41,-1151.02,-1063.5,22.65,155.52,114.43,
K2CO3,,,,ai,138.2134,-,-1181.90,-1094.36,-,148.1,-,
K2CO3,in 10 H2O,,,,138.2134,-,-1182.8,-,-,-,-,
K2CO3,in 50 H2O,,,,138.2134,-,-1182.8,-,-,-,-,
K2CO3,in 100 H2O,,,,138.2134,-,-1181.6,-,-,-,-,
K2CO3,in 200 H2O,,,,138.2134,-,-1180.7,-,-,-,-,
K2CO3,in 300 H2O,,,,138.2134,-,-1180.52,-,-,-,-,
K2CO3,in 500 H2O,,,,138.2134,-,-1180.52,-,-,-,-,
K2CO3,in 1000 H2O,,,,138.2134,-,-1180.33,-,-,-,-,
K2CO3,in 1500 H2O,,,,138.2134,-,-1179.55,-,-,-,-,
K2CO3,in 2000 H2O,,,,138.2134,-,-1178.76,-,-,-,-,
K2CO3,in 3000 H2O,,,,138.2134,-,-1177.71,-,-,-,-,
K2CO3,in 4000 H2O,,,,138.2134,-,-1177.04,-,-,-,-,
K2CO3,in 5000 H2O,,,,138.2134,-,-1176.42,-,-,-,-,
K2CO3,in 6000 H2O,,,,138.2134,-,-1175.91,-,-,-,-,
K2CO3,in 7500 H2O,,,,138.2134,-,-1175.24,-,-,-,-,
K2CO3,in 10000 H2O,,,,138.2134,-,-1174.24,-,-,-,-,
K2CO3·1.5H2O,,,,cr,165.2365,-,-1609.2,-1432.5,-,203.3,-,
K2C2O4,,oxalate,,cr,166.2240,-,-1346.8,-,-,-,-,
K2C2O4,in 30 H2O,,,,166.2240,-,-1331.01,-,-,-,-,
K2C2O4,in 35 H2O,,,,166.2240,-,-1330.80,-,-,-,-,
K2C2O4,in 40 H2O,,,,166.2240,-,-1330.60,-,-,-,-,
K2C2O4,in 50 H2O,,,,166.2240,-,-1330.14,-,-,-,-,
K2C2O4,in 70 H2O,,,,166.2240,-,-1329.76,-,-,-,-,
K2C2O4,in 100 H2O,,,,166.2240,-,-1329.30,-,-,-,-,
K2C2O4,in 200 H2O,,,,166.2240,-,-1328.80,-,-,-,-,
K2C2O4,in 400 H2O,,,,166.2240,-,-1328.71,-,-,-,-,
